Matchday,Home Team,Away Team,Goals Home,Goals Away,Points Home,Points Away
1,Aston Villa,West Ham United,3,0,3,0
1,Blackburn Rovers,Everton,1,0,3,0
1,Bolton Wanderers,Fulham,0,0,1,1
1,Chelsea,West Bromwich Albion,6,0,3,0
1,Liverpool,Arsenal,1,1,1,1
1,Manchester United,Newcastle United,3,0,3,0
1,Sunderland,Birmingham City,2,2,1,1
1,Tottenham Hotspur,Manchester City,0,0,1,1
1,Wigan Athletic,Blackpool,0,4,0,3
1,Wolverhampton,Stoke City,2,1,3,0
2,Arsenal,Blackpool,6,0,3,0
2,Birmingham City,Blackburn Rovers,2,1,3,0
2,Everton,Wolverhampton,1,1,1,1
2,Fulham,Manchester United,2,2,1,1
2,Manchester City,Liverpool,3,0,3,0
2,Newcastle United,Aston Villa,6,0,3,0
2,Stoke City,Tottenham Hotspur,1,2,0,3
2,West Bromwich Albion,Sunderland,1,0,3,0
2,West Ham United,Bolton Wanderers,1,3,0,3
2,Wigan Athletic,Chelsea,0,6,0,3
3,Aston Villa,Everton,1,0,3,0
3,Blackburn Rovers,Arsenal,1,2,0,3
3,Blackpool,Fulham,2,2,1,1
3,Bolton Wanderers,Birmingham City,2,2,1,1
3,Chelsea,Stoke City,2,0,3,0
3,Liverpool,West Bromwich Albion,1,0,3,0
3,Manchester United,West Ham United,3,0,3,0
3,Sunderland,Manchester City,1,0,3,0
3,Tottenham Hotspur,Wigan Athletic,0,1,0,3
3,Wolverhampton,Newcastle United,1,1,1,1
4,Arsenal,Bolton Wanderers,4,1,3,0
4,Birmingham City,Liverpool,0,0,1,1
4,Everton,Manchester United,3,3,1,1
4,Fulham,Wolverhampton,2,1,3,0
4,Manchester City,Blackburn Rovers,1,1,1,1
4,Newcastle United,Blackpool,0,2,0,3
4,Stoke City,Aston Villa,2,1,3,0
4,West Bromwich Albion,Tottenham Hotspur,1,1,1,1
4,West Ham United,Chelsea,1,3,0,3
4,Wigan Athletic,Sunderland,1,1,1,1
5,Aston Villa,Bolton Wanderers,1,1,1,1
5,Blackburn Rovers,Fulham,1,1,1,1
5,Chelsea,Blackpool,4,0,3,0
5,Everton,Newcastle United,0,1,0,3
5,Manchester United,Liverpool,3,2,3,0
5,Stoke City,West Ham United,1,1,1,1
5,Sunderland,Arsenal,1,1,1,1
5,Tottenham Hotspur,Wolverhampton,3,1,3,0
5,West Bromwich Albion,Birmingham City,3,1,3,0
5,Wigan Athletic,Manchester City,0,2,0,3
6,Arsenal,West Bromwich Albion,2,3,0,3
6,Birmingham City,Wigan Athletic,0,0,1,1
6,Blackpool,Blackburn Rovers,1,2,0,3
6,Bolton Wanderers,Manchester United,2,2,1,1
6,Fulham,Everton,0,0,1,1
6,Liverpool,Sunderland,2,2,1,1
6,Manchester City,Chelsea,1,0,3,0
6,Newcastle United,Stoke City,1,2,0,3
6,West Ham United,Tottenham Hotspur,1,0,3,0
6,Wolverhampton,Aston Villa,1,2,0,3
7,Birmingham City,Everton,0,2,0,3
7,Chelsea,Arsenal,2,0,3,0
7,Liverpool,Blackpool,1,2,0,3
7,Manchester City,Newcastle United,2,1,3,0
7,Stoke City,Blackburn Rovers,1,0,3,0
7,Sunderland,Manchester United,0,0,1,1
7,Tottenham Hotspur,Aston Villa,2,1,3,0
7,West Bromwich Albion,Bolton Wanderers,1,1,1,1
7,West Ham United,Fulham,1,1,1,1
7,Wigan Athletic,Wolverhampton,2,0,3,0
8,Arsenal,Birmingham City,2,1,3,0
8,Aston Villa,Chelsea,0,0,1,1
8,Blackburn Rovers,Sunderland,0,0,1,1
8,Blackpool,Manchester City,2,3,0,3
8,Bolton Wanderers,Stoke City,2,1,3,0
8,Everton,Liverpool,2,0,3,0
8,Fulham,Tottenham Hotspur,1,2,0,3
8,Manchester United,West Bromwich Albion,2,2,1,1
8,Newcastle United,Wigan Athletic,2,2,1,1
8,Wolverhampton,West Ham United,1,1,1,1
9,Birmingham City,Blackpool,2,0,3,0
9,Chelsea,Wolverhampton,2,0,3,0
9,Liverpool,Blackburn Rovers,2,1,3,0
9,Manchester City,Arsenal,0,3,0,3
9,Stoke City,Manchester United,1,2,0,3
9,Sunderland,Aston Villa,1,0,3,0
9,Tottenham Hotspur,Everton,1,1,1,1
9,West Bromwich Albion,Fulham,2,1,3,0
9,West Ham United,Newcastle United,1,2,0,3
9,Wigan Athletic,Bolton Wanderers,1,1,1,1
10,Arsenal,West Ham United,1,0,3,0
10,Aston Villa,Birmingham City,0,0,1,1
10,Blackburn Rovers,Chelsea,1,2,0,3
10,Blackpool,West Bromwich Albion,2,1,3,0
10,Bolton Wanderers,Liverpool,0,1,0,3
10,Everton,Stoke City,1,0,3,0
10,Fulham,Wigan Athletic,2,0,3,0
10,Manchester United,Tottenham Hotspur,2,0,3,0
10,Newcastle United,Sunderland,5,1,3,0
10,Wolverhampton,Manchester City,2,1,3,0
11,Arsenal,Newcastle United,0,1,0,3
11,Birmingham City,West Ham United,2,2,1,1
11,Blackburn Rovers,Wigan Athletic,2,1,3,0
11,Blackpool,Everton,2,2,1,1
11,Bolton Wanderers,Tottenham Hotspur,4,2,3,0
11,Fulham,Aston Villa,1,1,1,1
11,Liverpool,Chelsea,2,0,3,0
11,Manchester United,Wolverhampton,2,1,3,0
11,Sunderland,Stoke City,2,0,3,0
11,West Bromwich Albion,Manchester City,0,2,0,3
12,Aston Villa,Blackpool,3,2,3,0
12,Chelsea,Fulham,1,0,3,0
12,Everton,Bolton Wanderers,1,1,1,1
12,Manchester City,Manchester United,0,0,1,1
12,Newcastle United,Blackburn Rovers,1,2,0,3
12,Stoke City,Birmingham City,3,2,3,0
12,Tottenham Hotspur,Sunderland,1,1,1,1
12,West Ham United,West Bromwich Albion,2,2,1,1
12,Wigan Athletic,Liverpool,1,1,1,1
12,Wolverhampton,Arsenal,0,2,0,3
13,Aston Villa,Manchester United,2,2,1,1
13,Chelsea,Sunderland,0,3,0,3
13,Everton,Arsenal,1,2,0,3
13,Manchester City,Birmingham City,0,0,1,1
13,Newcastle United,Fulham,0,0,1,1
13,Stoke City,Liverpool,2,0,3,0
13,Tottenham Hotspur,Blackburn Rovers,4,2,3,0
13,West Ham United,Blackpool,0,0,1,1
13,Wigan Athletic,West Bromwich Albion,1,0,3,0
13,Wolverhampton,Bolton Wanderers,2,3,0,3
14,Arsenal,Tottenham Hotspur,2,3,0,3
14,Birmingham City,Chelsea,1,0,3,0
14,Blackburn Rovers,Aston Villa,2,0,3,0
14,Blackpool,Wolverhampton,2,1,3,0
