1. Round,,,,
20/08/2010,,,,
19:30,Bayern München,-0,VfL Wolfsburg,2:1 (1:0)
21/08/2010,,,,
14:30,1899 Hoffenheim,-0,Werder Bremen,4:1 (4:1)
14:30,Bor. Mönchengladbach,-0,1. FC Nürnberg,1:1 (1:1)
14:30,1. FC Köln,-0,1. FC Kaiserslautern,1:3 (1:0)
14:30,SC Freiburg,-0,FC St. Pauli,1:3 (0:0)
14:30,Hannover 96,-0,Eintracht Frankfurt,2:1 (1:1)
17:30,Hamburger SV,-0,FC Schalke 04,2:1 (0:0)
22/08/2010,,,,
14:30,1. FSV Mainz 05,-0,VfB Stuttgart,2:0 (1:0)
16:30,Borussia Dortmund,-0,Bayer Leverkusen,0:2 (0:2)
2. Round,,,,
27/08/2010,,,,
19:30,1. FC Kaiserslautern,-0,Bayern München,2:0 (2:0)
28/08/2010,,,,
14:30,FC Schalke 04,-0,Hannover 96,1:2 (0:1)
14:30,Werder Bremen,-0,1. FC Köln,4:2 (2:1)
14:30,VfL Wolfsburg,-0,1. FSV Mainz 05,3:4 (3:1)
14:30,Eintracht Frankfurt,-0,Hamburger SV,1:3 (1:0)
14:30,1. FC Nürnberg,-0,SC Freiburg,1:2 (1:2)
17:30,FC St. Pauli,-0,1899 Hoffenheim,0:1 (0:0)
29/08/2010,,,,
14:30,Bayer Leverkusen,-0,Bor. Mönchengladbach,3:6 (1:3)
16:30,VfB Stuttgart,-0,Borussia Dortmund,1:3 (0:3)
3. Round,,,,
10/09/2010,,,,
19:30,1899 Hoffenheim,-0,FC Schalke 04,2:0 (1:0)
11/09/2010,,,,
14:30,Borussia Dortmund,-0,VfL Wolfsburg,2:0 (0:0)
14:30,Hamburger SV,-0,1. FC Nürnberg,1:1 (0:0)
14:30,Bor. Mönchengladbach,-0,Eintracht Frankfurt,0:4 (0:2)
14:30,SC Freiburg,-0,VfB Stuttgart,2:1 (0:1)
14:30,Hannover 96,-0,Bayer Leverkusen,2:2 (1:0)
17:30,Bayern München,-0,Werder Bremen,0:0 (0:0)
12/09/2010,,,,
14:30,1. FSV Mainz 05,-0,1. FC Kaiserslautern,2:1 (0:1)
16:30,1. FC Köln,-0,FC St. Pauli,1:0 (1:0)
4. Round,,,,
17/09/2010,,,,
19:30,Eintracht Frankfurt,-0,SC Freiburg,0:1 (0:0)
18/09/2010,,,,
14:30,Bayern München,-0,1. FC Köln,0:0 (0:0)
14:30,Werder Bremen,-0,1. FSV Mainz 05,0:2 (0:0)
14:30,VfB Stuttgart,-0,Bor. Mönchengladbach,7:0 (2:0)
14:30,VfL Wolfsburg,-0,Hannover 96,2:0 (0:0)
14:30,1. FC Kaiserslautern,-0,1899 Hoffenheim,2:2 (0:1)
19/09/2010,,,,
14:30,FC St. Pauli,-0,Hamburger SV,1:1 (0:0)
16:30,FC Schalke 04,-0,Borussia Dortmund,1:3 (0:1)
16:30,Bayer Leverkusen,-0,1. FC Nürnberg,0:0 (0:0)
5. Round,,,,
21/09/2010,,,,
19:00,1. FSV Mainz 05,-0,1. FC Köln,2:0 (0:0)
19:00,1899 Hoffenheim,-0,Bayern München,1:2 (1:0)
19:00,Hannover 96,-0,Werder Bremen,4:1 (1:1)
22/09/2010,,,,
19:00,Bayer Leverkusen,-0,Eintracht Frankfurt,2:1 (1:1)
19:00,Borussia Dortmund,-0,1. FC Kaiserslautern,5:0 (2:0)
19:00,Hamburger SV,-0,VfL Wolfsburg,1:3 (1:1)
19:00,Bor. Mönchengladbach,-0,FC St. Pauli,1:2 (1:0)
19:00,SC Freiburg,-0,FC Schalke 04,1:2 (0:1)
19:00,1. FC Nürnberg,-0,VfB Stuttgart,2:1 (1:0)
6. Round,,,,
24/09/2010,,,,
19:30,1. FC Köln,-0,1899 Hoffenheim,1:1 (1:0)
25/09/2010,,,,
14:30,Bayern München,-0,1. FSV Mainz 05,1:2 (1:1)
14:30,FC Schalke 04,-0,Bor. Mönchengladbach,2:2 (0:2)
14:30,VfB Stuttgart,-0,Bayer Leverkusen,1:4 (0:2)
14:30,Eintracht Frankfurt,-0,1. FC Nürnberg,2:0 (1:0)
14:30,FC St. Pauli,-0,Borussia Dortmund,1:3 (1:1)
17:30,Werder Bremen,-0,Hamburger SV,3:2 (2:0)
26/09/2010,,,,
