Bundesliga,Germany,2002-2003
Matchday,Home Team,Away Team,Goals Home,Goals Away,Points Home,Points Away
1,Borussia Dortmund,Hertha BSC,2,2,1,1
1,Energie Cottbus,Bayer Leverkusen,1,1,1,1
1,1.FC Nuernberg,VfL Bochum,1,3,0,3
1,TSV 1860 Muenchen,FC Hansa Rostock,0,2,0,3
1,Hamburger SV,Hannover 96,2,1,3,0
1,Arminia Bielefeld,SV Werder Bremen,3,0,3,0
1,Borussia Mgladbach,FC Bayern Muenchen,0,0,1,1
1,Schalke 04,VfL Wolfsburg,1,0,3,0
1,VfB Stuttgart,1.FC Kaiserslautern,1,1,1,1
2,Hertha BSC,VfB Stuttgart,1,1,1,1
2,VfL Wolfsburg,Borussia Mgladbach,1,0,3,0
2,FC Bayern Muenchen,Arminia Bielefeld,6,2,3,0
2,SV Werder Bremen,Hamburger SV,2,1,3,0
2,Hannover 96,TSV 1860 Muenchen,1,3,0,3
2,FC Hansa Rostock,1.FC Nuernberg,2,0,3,0
2,VfL Bochum,Energie Cottbus,5,0,3,0
2,Bayer Leverkusen,Borussia Dortmund,1,1,1,1
2,1.FC Kaiserslautern,Schalke 04,1,3,0,3
3,Energie Cottbus,FC Hansa Rostock,0,4,0,3
3,1.FC Nuernberg,Hannover 96,3,1,3,0
3,TSV 1860 Muenchen,SV Werder Bremen,3,0,3,0
3,Hamburger SV,FC Bayern Muenchen,0,3,0,3
3,Arminia Bielefeld,VfL Wolfsburg,1,0,3,0
3,Borussia Mgladbach,1.FC Kaiserslautern,3,0,3,0
3,Schalke 04,Hertha BSC,0,0,1,1
3,Bayer Leverkusen,VfL Bochum,2,4,0,3
3,Borussia Dortmund,VfB Stuttgart,3,1,3,0
4,Hertha BSC,Borussia Mgladbach,1,2,0,3
4,VfL Wolfsburg,Hamburger SV,2,1,3,0
4,FC Bayern Muenchen,TSV 1860 Muenchen,3,1,3,0
4,SV Werder Bremen,1.FC Nuernberg,4,1,3,0
4,Hannover 96,Energie Cottbus,1,3,0,3
4,FC Hansa Rostock,Bayer Leverkusen,1,3,0,3
4,VfL Bochum,Borussia Dortmund,0,0,1,1
4,VfB Stuttgart,Schalke 04,1,1,1,1
4,1.FC Kaiserslautern,Arminia Bielefeld,1,1,1,1
5,Energie Cottbus,SV Werder Bremen,0,1,0,3
5,1.FC Nuernberg,FC Bayern Muenchen,1,2,0,3
5,TSV 1860 Muenchen,VfL Wolfsburg,2,2,1,1
5,Hamburger SV,1.FC Kaiserslautern,2,0,3,0
5,Arminia Bielefeld,Hertha BSC,0,1,0,3
5,Borussia Mgladbach,VfB Stuttgart,1,1,1,1
5,VfL Bochum,FC Hansa Rostock,0,1,0,3
5,Bayer Leverkusen,Hannover 96,1,3,0,3
5,Borussia Dortmund,Schalke 04,1,1,1,1
6,Hertha BSC,Hamburger SV,2,0,3,0
6,VfL Wolfsburg,1.FC Nuernberg,0,2,0,3
6,FC Bayern Muenchen,Energie Cottbus,3,1,3,0
6,SV Werder Bremen,Bayer Leverkusen,3,2,3,0
6,Hannover 96,VfL Bochum,2,2,1,1
6,FC Hansa Rostock,Borussia Dortmund,0,1,0,3
6,Schalke 04,Borussia Mgladbach,2,1,3,0
6,VfB Stuttgart,Arminia Bielefeld,3,0,3,0
6,1.FC Kaiserslautern,TSV 1860 Muenchen,0,0,1,1
7,Energie Cottbus,VfL Wolfsburg,0,1,0,3
7,1.FC Nuernberg,1.FC Kaiserslautern,1,0,3,0
7,TSV 1860 Muenchen,Hertha BSC,1,0,3,0
7,Hamburger SV,VfB Stuttgart,3,2,3,0
7,Arminia Bielefeld,Schalke 04,2,1,3,0
7,FC Hansa Rostock,Hannover 96,1,2,0,3
7,VfL Bochum,SV Werder Bremen,1,4,0,3
7,Bayer Leverkusen,FC Bayern Muenchen,2,1,3,0
7,Borussia Dortmund,Borussia Mgladbach,1,0,3,0
8,Hertha BSC,1.FC Nuernberg,2,1,3,0
8,VfL Wolfsburg,Bayer Leverkusen,2,0,3,0
8,FC Bayern Muenchen,VfL Bochum,4,1,3,0
8,SV Werder Bremen,FC Hansa Rostock,0,0,1,1
8,Hannover 96,Borussia Dortmund,0,3,0,3
8,Borussia Mgladbach,Arminia Bielefeld,3,0,3,0
8,Schalke 04,Hamburger SV,3,0,3,0
8,VfB Stuttgart,TSV 1860 Muenchen,4,1,3,0
8,1.FC Kaiserslautern,Energie Cottbus,4,0,3,0
9,Energie Cottbus,Hertha BSC,0,2,0,3
9,1.FC Nuernberg,VfB Stuttgart,1,2,0,3
9,TSV 1860 Muenchen,Schalke 04,3,0,3,0
9,Hamburger SV,Borussia Mgladbach,1,0,3,0
9,Hannover 96,SV Werder Bremen,4,4,1,1
9,FC Hansa Rostock,FC Bayern Muenchen,0,1,0,3
9,VfL Bochum,VfL Wolfsburg,4,2,3,0
9,Bayer Leverkusen,1.FC Kaiserslautern,1,0,3,0
9,Borussia Dortmund,Arminia Bielefeld,0,0,1,1
10,Hertha BSC,Bayer Leverkusen,1,1,1,1
10,VfL Wolfsburg,FC Hansa Rostock,1,0,3,0
10,FC Bayern Muenchen,Hannover 96,3,3,1,1
10,SV Werder Bremen,Borussia Dortmund,1,4,0,3
10,Arminia Bielefeld,Hamburger SV,2,1,3,0
10,Borussia Mgladbach,TSV 1860 Muenchen,0,1,0,3
10,Schalke 04,1.FC Nuernberg,1,1,1,1
10,VfB Stuttgart,Energie Cottbus,0,0,1,1
10,1.FC Kaiserslautern,VfL Bochum,0,2,0,3
11,Energie Cottbus,Schalke 04,0,1,0,3
11,1.FC Nuernberg,Borussia Mgladbach,2,1,3,0
11,TSV 1860 Muenchen,Arminia Bielefeld,3,1,3,0
11,SV Werder Bremen,FC Bayern Muenchen,2,0,3,0
11,Hannover 96,VfL Wolfsburg,3,1,3,0
11,FC Hansa Rostock,1.FC Kaiserslautern,2,2,1,1
11,VfL Bochum,Hertha BSC,3,0,3,0
11,Bayer Leverkusen,VfB Stuttgart,0,1,0,3
11,Borussia Dortmund,Hamburger SV,1,1,1,1
12,Hertha BSC,FC Hansa Rostock,3,1,3,0
12,VfL Wolfsburg,SV Werder Bremen,3,1,3,0
12,FC Bayern Muenchen,Borussia Dortmund,2,1,3,0
12,Hamburger SV,TSV 1860 Muenchen,1,0,3,0
12,Arminia Bielefeld,1.FC Nuernberg,0,1,0,3
12,Borussia Mgladbach,Energie Cottbus,3,0,3,0
12,Schalke 04,Bayer Leverkusen,0,1,0,3
12,VfB Stuttgart,VfL Bochum,3,2,3,0
12,1.FC Kaiserslautern,Hannover 96,0,1,0,3
13,Energie Cottbus,Arminia Bielefeld,2,1,3,0
13,1.FC Nuernberg,Hamburger SV,1,3,0,3
13,FC Bayern Muenchen,VfL Wolfsburg,1,0,3,0
13,SV Werder Bremen,1.FC Kaiserslautern,5,3,3,0
13,Hannover 96,Hertha BSC,0,1,0,3
13,FC Hansa Rostock,VfB Stuttgart,1,1,1,1
13,VfL Bochum,Schalke 04,0,2,0,3
13,Bayer Leverkusen,Borussia Mgladbach,2,2,1,1
13,Borussia Dortmund,TSV 1860 Muenchen,1,0,3,0
14,Hertha BSC,SV Werder Bremen,0,1,0,3
14,VfL Wolfsburg,Borussia Dortmund,2,0,3,0
14,TSV 1860 Muenchen,1.FC Nuernberg,2,2,1,1
14,Hamburger SV,Energie Cottbus,1,1,1,1
14,Arminia Bielefeld,Bayer Leverkusen,2,2,1,1
14,Borussia Mgladbach,VfL Bochum,2,2,1,1
14,Schalke 04,FC Hansa Rostock,2,2,1,1
14,VfB Stuttgart,Hannover 96,3,0,3,0
14,1.FC Kaiserslautern,FC Bayern Muenchen,0,2,0,3
15,Energie Cottbus,TSV 1860 Muenchen,3,4,0,3
15,1.FC Nuernberg,Borussia Dortmund,1,2,0,3
15,FC Bayern Muenchen,Hertha BSC,2,0,3,0
15,SV Werder Bremen,VfB Stuttgart,3,1,3,0
15,Hannover 96,Schalke 04,0,2,0,3
15,FC Hansa Rostock,Borussia Mgladbach,3,1,3,0
15,VfL Bochum,Arminia Bielefeld,0,3,0,3
15,Bayer Leverkusen,Hamburger SV,2,3,0,3
15,1.FC Kaiserslautern,VfL Wolfsburg,2,0,3,0
16,Hertha BSC,VfL Wolfsburg,2,2,1,1
16,1.FC Nuernberg,Energie Cottbus,2,2,1,1
16,TSV 1860 Muenchen,Bayer Leverkusen,0,3,0,3
16,Hamburger SV,VfL Bochum,1,1,1,1
16,Arminia Bielefeld,FC Hansa Rostock,3,0,3,0
16,Borussia Mgladbach,Hannover 96,1,0,3,0
16,Schalke 04,SV Werder Bremen,1,1,1,1
16,VfB Stuttgart,FC Bayern Muenchen,0,3,0,3
16,Borussia Dortmund,1.FC Kaiserslautern,3,1,3,0
17,Energie Cottbus,Borussia Dortmund,0,4,0,3
17,VfL Wolfsburg,VfB Stuttgart,1,2,0,3
17,FC Bayern Muenchen,Schalke 04,0,0,1,1
17,SV Werder Bremen,Borussia Mgladbach,2,0,3,0
17,Hannover 96,Arminia Bielefeld,0,0,1,1
17,FC Hansa Rostock,Hamburger SV,0,0,1,1
17,VfL Bochum,TSV 1860 Muenchen,1,1,1,1
17,Bayer Leverkusen,1.FC Nuernberg,0,2,0,3
17,1.FC Kaiserslautern,Hertha BSC,2,1,3,0
18,Bayer Leverkusen,Energie Cottbus,0,3,0,3
18,VfL Bochum,1.FC Nuernberg,2,1,3,0
18,FC Hansa Rostock,TSV 1860 Muenchen,1,4,0,3
18,Hannover 96,Hamburger SV,2,2,1,1
18,SV Werder Bremen,Arminia Bielefeld,2,2,1,1
18,FC Bayern Muenchen,Borussia Mgladbach,3,0,3,0
18,VfL Wolfsburg,Schalke 04,1,2,0,3
18,1.FC Kaiserslautern,VfB Stuttgart,1,2,0,3
18,Hertha BSC,Borussia Dortmund,2,1,3,0
19,VfB Stuttgart,Hertha BSC,3,1,3,0
19,Borussia Mgladbach,VfL Wolfsburg,2,0,3,0
19,Arminia Bielefeld,FC Bayern Muenchen,0,0,1,1
