English Premier League,England,2002-2003
Matchday,Home Team,Away Team,Goals Home,Goals Away,Points Home,Points Away
1,Blackburn Rovers,Sunderland,0,0,1,1
1,Charlton Athletic,Chelsea,2,3,0,3
1,Everton,Tottenham Hotspur,2,2,1,1
1,Fulham,Bolton Wanderers,4,1,3,0
1,Leeds United,Manchester City,3,0,3,0
1,Manchester United,West Bromwich Albion,1,0,3,0
1,Newcastle United,West Ham United,4,0,3,0
1,Southampton,Middlesbrough,0,0,1,1
1,Arsenal,Birmingham City,2,0,3,0
1,Aston Villa,Liverpool,0,1,0,3
2,Chelsea,Manchester United,2,2,1,1
2,Manchester City,Newcastle United,1,0,3,0
2,Birmingham City,Blackburn Rovers,0,1,0,3
2,Bolton Wanderers,Charlton Athletic,1,2,0,3
2,Liverpool,Southampton,3,0,3,0
2,Middlesbrough,Fulham,2,2,1,1
2,Sunderland,Everton,0,1,0,3
2,Tottenham Hotspur,Aston Villa,1,0,3,0
2,West Ham United,Arsenal,2,2,1,1
2,West Bromwich Albion,Leeds United,1,3,0,3
3,Charlton Athletic,Tottenham Hotspur,0,1,0,3
3,Arsenal,West Bromwich Albion,5,2,3,0
3,Aston Villa,Manchester City,1,0,3,0
3,Leeds United,Sunderland,0,1,0,3
3,Southampton,Chelsea,1,1,1,1
3,Blackburn Rovers,Liverpool,2,2,1,1
3,Everton,Birmingham City,1,1,1,1
3,Fulham,West Ham United,0,1,0,3
3,Birmingham City,Leeds United,2,1,3,0
3,Manchester City,Everton,3,1,3,0
4,Middlesbrough,Blackburn Rovers,1,0,3,0
4,Sunderland,Manchester United,1,1,1,1
4,Tottenham Hotspur,Southampton,2,1,3,0
4,West Bromwich Albion,Fulham,1,0,3,0
4,West Ham United,Charlton Athletic,0,2,0,3
4,Bolton Wanderers,Aston Villa,1,0,3,0
4,Chelsea,Arsenal,1,1,1,1
4,Liverpool,Newcastle United,2,2,1,1
4,Manchester United,Middlesbrough,1,0,3,0
4,Middlesbrough,Sunderland,3,0,3,0
5,Arsenal,Manchester City,2,1,3,0
5,Aston Villa,Charlton Athletic,2,0,3,0
5,Fulham,Tottenham Hotspur,3,2,3,0
5,Southampton,Everton,1,0,3,0
5,West Ham United,West Bromwich Albion,0,1,0,3
5,Blackburn Rovers,Chelsea,2,3,0,3
5,Liverpool,Birmingham City,2,2,1,1
5,Manchester United,Bolton Wanderers,0,1,0,3
5,Newcastle United,Leeds United,0,2,0,3
5,Leeds United,Manchester United,1,0,3,0
6,Bolton Wanderers,Liverpool,2,3,0,3
6,Charlton Athletic,Arsenal,0,3,0,3
6,Chelsea,Newcastle United,3,0,3,0
6,Everton,Middlesbrough,2,1,3,0
6,Sunderland,Fulham,0,3,0,3
6,West Bromwich Albion,Southampton,1,0,3,0
6,Birmingham City,Aston Villa,3,0,3,0
6,Manchester City,Blackburn Rovers,2,2,1,1
6,Tottenham Hotspur,West Ham United,3,2,3,0
6,Arsenal,Bolton Wanderers,2,1,3,0
7,Liverpool,West Bromwich Albion,2,0,3,0
7,Manchester United,Tottenham Hotspur,1,0,3,0
7,Middlesbrough,Birmingham City,1,0,3,0
7,Southampton,Charlton Athletic,0,0,1,1
7,West Ham United,Manchester City,0,0,1,1
7,Aston Villa,Everton,3,2,3,0
7,Blackburn Rovers,Leeds United,1,0,3,0
7,Newcastle United,Sunderland,2,0,3,0
7,Fulham,Chelsea,0,0,1,1
7,Leeds United,Arsenal,1,4,0,3
8,Bolton Wanderers,Southampton,1,1,1,1
8,Charlton Athletic,Manchester United,1,3,0,3
8,Chelsea,West Ham United,2,3,0,3
8,Everton,Fulham,2,0,3,0
8,Manchester City,Liverpool,0,3,0,3
8,Sunderland,Aston Villa,1,0,3,0
8,Tottenham Hotspur,Middlesbrough,0,3,0,3
8,Birmingham City,Newcastle United,0,2,0,3
8,West Bromwich Albion,Blackburn Rovers,0,2,0,3
8,Fulham,Charlton Athletic,1,0,3,0
9,Middlesbrough,Bolton Wanderers,2,0,3,0
9,Newcastle United,West Bromwich Albion,2,1,3,0
9,Southampton,Manchester City,2,0,3,0
9,West Ham United,Birmingham City,1,2,0,3
9,Arsenal,Sunderland,3,1,3,0
9,Aston Villa,Leeds United,0,0,1,1
9,Blackburn Rovers,Tottenham Hotspur,1,2,0,3
9,Liverpool,Chelsea,1,0,3,0
9,Manchester United,Everton,3,0,3,0
9,Leeds United,Liverpool,0,1,0,3
10,Blackburn Rovers,Newcastle United,5,2,3,0
10,Everton,Arsenal,2,1,3,0
10,Fulham,Manchester United,1,1,1,1
10,Manchester City,Chelsea,0,3,0,3
