La Liga,Spain,2011-2012
Matchday,Home Team,Away Team,Goals Home,Goals Away,Points Home,Points Away
1,Racing Santander,Getafe CF,1,2,0,3
1,Espanyol Barcelona,Granada CF,3,0,3,0
1,Real Sociedad,Atlético Madrid,0,4,0,3
1,Real Betis,Sevilla FC,1,1,1,1
1,CA Osasuna,Valencia CF,1,1,1,1
1,Rayo Vallecano,RCD Mallorca,0,1,0,3
1,Málaga CF,FC Barcelona,1,4,0,3
1,Levante UD,Real Zaragoza,0,0,1,1
1,Real Madrid,Athletic Bilbao,4,1,3,0
1,Villarreal CF,Sporting Gijón,3,0,3,0
2,Sporting Gijón,Real Sociedad,1,2,0,3
2,Valencia CF,Racing Santander,4,3,3,0
2,Granada CF,Real Betis,0,1,0,3
2,Atlético Madrid,CA Osasuna,0,0,1,1
2,Athletic Bilbao,Rayo Vallecano,1,1,1,1
2,RCD Mallorca,Espanyol Barcelona,1,0,3,0
2,Getafe CF,Levante UD,1,1,1,1
2,Real Zaragoza,Real Madrid,0,6,0,3
2,Sevilla FC,Málaga CF,2,1,3,0
2,FC Barcelona,Villarreal CF,5,0,3,0
3,Real Sociedad,FC Barcelona,2,2,1,1
3,Villarreal CF,Sevilla FC,2,2,1,1
3,Real Madrid,Getafe CF,4,2,3,0
3,Valencia CF,Atlético Madrid,1,0,3,0
3,Real Betis,RCD Mallorca,1,0,3,0
3,Racing Santander,Levante UD,0,0,1,1
3,CA Osasuna,Sporting Gijón,2,1,3,0
3,Rayo Vallecano,Real Zaragoza,0,0,1,1
3,Espanyol Barcelona,Athletic Bilbao,2,1,3,0
3,Málaga CF,Granada CF,4,0,3,0
4,Sporting Gijón,Valencia CF,0,1,0,3
4,Granada CF,Villarreal CF,1,0,3,0
4,RCD Mallorca,Málaga CF,0,1,0,3
4,FC Barcelona,CA Osasuna,8,0,3,0
4,Sevilla FC,Real Sociedad,1,0,3,0
4,Getafe CF,Rayo Vallecano,0,1,0,3
4,Real Zaragoza,Espanyol Barcelona,2,1,3,0
4,Atlético Madrid,Racing Santander,4,0,3,0
4,Levante UD,Real Madrid,1,0,3,0
4,Athletic Bilbao,Real Betis,2,3,0,3
5,CA Osasuna,Sevilla FC,0,0,1,1
5,Real Sociedad,Granada CF,1,0,3,0
5,Villarreal CF,RCD Mallorca,2,0,3,0
5,Atlético Madrid,Sporting Gijón,4,0,3,0
5,Málaga CF,Athletic Bilbao,1,0,3,0
5,Rayo Vallecano,Levante UD,1,2,0,3
5,Racing Santander,Real Madrid,0,0,1,1
5,Valencia CF,FC Barcelona,2,2,1,1
5,Espanyol Barcelona,Getafe CF,1,0,3,0
5,Real Betis,Real Zaragoza,4,3,3,0
6,Sevilla FC,Valencia CF,1,0,3,0
6,Athletic Bilbao,Villarreal CF,1,1,1,1
6,Real Madrid,Rayo Vallecano,6,2,3,0
6,FC Barcelona,Atlético Madrid,5,0,3,0
6,RCD Mallorca,Real Sociedad,2,1,3,0
6,Levante UD,Espanyol Barcelona,3,1,3,0
6,Granada CF,CA Osasuna,1,1,1,1
6,Sporting Gijón,Racing Santander,0,0,1,1
6,Real Zaragoza,Málaga CF,0,0,1,1
6,Getafe CF,Real Betis,1,0,3,0
7,CA Osasuna,RCD Mallorca,2,2,1,1
7,Villarreal CF,Real Zaragoza,2,2,1,1
7,Racing Santander,Rayo Vallecano,1,1,1,1
7,Valencia CF,Granada CF,1,0,3,0
7,Málaga CF,Getafe CF,3,2,3,0
7,Real Sociedad,Athletic Bilbao,1,2,0,3
7,Real Betis,Levante UD,0,1,0,3
7,Atlético Madrid,Sevilla FC,0,0,1,1
7,Sporting Gijón,FC Barcelona,0,1,0,3
7,Espanyol Barcelona,Real Madrid,0,4,0,3
8,RCD Mallorca,Valencia CF,1,1,1,1
8,Getafe CF,Villarreal CF,0,0,1,1
8,Real Madrid,Real Betis,4,1,3,0
8,FC Barcelona,Racing Santander,3,0,3,0
8,Granada CF,Atlético Madrid,0,0,1,1
8,Rayo Vallecano,Espanyol Barcelona,0,1,0,3
8,Real Zaragoza,Real Sociedad,2,0,3,0
8,Levante UD,Málaga CF,3,0,3,0
8,Sevilla FC,Sporting Gijón,2,1,3,0
8,Athletic Bilbao,CA Osasuna,3,1,3,0
9,Sporting Gijón,Granada CF,2,0,3,0
9,Racing Santander,Espanyol Barcelona,0,1,0,3
9,Málaga CF,Real Madrid,0,4,0,3
9,FC Barcelona,Sevilla FC,0,0,1,1
9,Real Betis,Rayo Vallecano,0,2,0,3
9,Real Sociedad,Getafe CF,0,0,1,1
9,Atlético Madrid,RCD Mallorca,1,1,1,1
9,CA Osasuna,Real Zaragoza,3,0,3,0
9,Valencia CF,Athletic Bilbao,1,1,1,1
9,Villarreal CF,Levante UD,0,3,0,3
10,Granada CF,FC Barcelona,0,1,0,3
10,Sevilla FC,Racing Santander,2,2,1,1
10,Real Zaragoza,Valencia CF,0,1,0,3
10,Getafe CF,CA Osasuna,2,2,1,1
10,Levante UD,Real Sociedad,3,2,3,0
10,Rayo Vallecano,Málaga CF,2,0,3,0
10,RCD Mallorca,Sporting Gijón,1,2,0,3
10,Real Madrid,Villarreal CF,3,0,3,0
10,Espanyol Barcelona,Real Betis,1,0,3,0
10,Athletic Bilbao,Atlético Madrid,3,0,3,0
11,Valencia CF,Getafe CF,3,1,3,0
11,Villarreal CF,Rayo Vallecano,2,0,3,0
11,FC Barcelona,RCD Mallorca,5,0,3,0
11,Real Sociedad,Real Madrid,0,1,0,3
11,Sporting Gijón,Athletic Bilbao,1,1,1,1
11,CA Osasuna,Levante UD,2,0,3,0
11,Racing Santander,Real Betis,1,0,3,0
11,Atlético Madrid,Real Zaragoza,3,1,3,0
11,Málaga CF,Espanyol Barcelona,2,1,3,0
11,Sevilla FC,Granada CF,1,2,0,3
12,RCD Mallorca,Sevilla FC,0,0,1,1
12,Real Betis,Málaga CF,0,0,1,1
12,Levante UD,Valencia CF,0,2,0,3
12,Real Madrid,CA Osasuna,7,1,3,0
12,Granada CF,Racing Santander,0,0,1,1
12,Real Zaragoza,Sporting Gijón,2,2,1,1
12,Rayo Vallecano,Real Sociedad,4,0,3,0
12,Espanyol Barcelona,Villarreal CF,0,0,1,1
12,Athletic Bilbao,FC Barcelona,2,2,1,1
12,Getafe CF,Atlético Madrid,3,2,3,0
13,Villarreal CF,Real Betis,1,0,3,0
13,FC Barcelona,Real Zaragoza,4,0,3,0
13,Valencia CF,Real Madrid,2,3,0,3
13,Real Sociedad,Espanyol Barcelona,0,0,1,1
13,Sporting Gijón,Getafe CF,2,1,3,0
13,CA Osasuna,Rayo Vallecano,0,0,1,1
13,Sevilla FC,Athletic Bilbao,1,2,0,3
13,Atlético Madrid,Levante UD,3,2,3,0
13,Racing Santander,Málaga CF,1,3,0,3
13,Granada CF,RCD Mallorca,2,2,1,1
14,Rayo Vallecano,Valencia CF,1,2,0,3
14,Real Madrid,Atlético Madrid,4,1,3,0
14,Getafe CF,FC Barcelona,1,0,3,0
14,Real Betis,Real Sociedad,2,3,0,3
14,Levante UD,Sporting Gijón,4,0,3,0
14,RCD Mallorca,Racing Santander,2,1,3,0
14,Espanyol Barcelona,CA Osasuna,1,2,0,3
14,Athletic Bilbao,Granada CF,0,1,0,3
14,Real Zaragoza,Sevilla FC,0,1,0,3
14,Málaga CF,Villarreal CF,2,1,3,0
15,Sporting Gijón,Real Madrid,0,3,0,3
15,Racing Santander,Villarreal CF,1,0,3,0
15,FC Barcelona,Levante UD,5,0,3,0
15,Valencia CF,Espanyol Barcelona,2,1,3,0
15,Atlético Madrid,Rayo Vallecano,3,1,3,0
15,Real Sociedad,Málaga CF,3,2,3,0
15,CA Osasuna,Real Betis,2,1,3,0
15,RCD Mallorca,Athletic Bilbao,1,1,1,1
15,Granada CF,Real Zaragoza,1,0,3,0
15,Sevilla FC,Getafe CF,3,0,3,0
16,Levante UD,Sevilla FC,1,0,3,0
16,Real Betis,Valencia CF,2,1,3,0
16,Real Madrid,FC Barcelona,1,3,0,3
16,Rayo Vallecano,Sporting Gijón,1,3,0,3
16,Getafe CF,Granada CF,1,0,3,0
16,Villarreal CF,Real Sociedad,1,1,1,1
16,Real Zaragoza,RCD Mallorca,0,1,0,3
16,Málaga CF,CA Osasuna,1,1,1,1
16,Athletic Bilbao,Racing Santander,1,1,1,1
16,Espanyol Barcelona,Atlético Madrid,4,2,3,0
17,FC Barcelona,Rayo Vallecano,4,0,3,0
17,RCD Mallorca,Getafe CF,1,2,0,3
17,Sporting Gijón,Espanyol Barcelona,1,2,0,3
17,Athletic Bilbao,Real Zaragoza,2,1,3,0
17,Sevilla FC,Real Madrid,2,6,0,3
17,Atlético Madrid,Real Betis,0,2,0,3
17,Granada CF,Levante UD,2,1,3,0
17,CA Osasuna,Villarreal CF,2,1,3,0
17,Racing Santander,Real Sociedad,0,0,1,1
17,Valencia CF,Málaga CF,2,0,3,0
18,Racing Santander,Real Zaragoza,1,0,3,0
18,Levante UD,RCD Mallorca,0,0,1,1
18,Real Sociedad,CA Osasuna,0,0,1,1
18,Real Madrid,Granada CF,5,1,3,0
18,Málaga CF,Atlético Madrid,0,0,1,1
18,Rayo Vallecano,Sevilla FC,2,1,3,0
18,Getafe CF,Athletic Bilbao,0,0,1,1
18,Villarreal CF,Valencia CF,2,2,1,1
18,Real Betis,Sporting Gijón,2,0,3,0
18,Espanyol Barcelona,FC Barcelona,1,1,1,1
19,Real Zaragoza,Getafe CF,1,1,1,1
19,Granada CF,Rayo Vallecano,1,2,0,3
19,Sevilla FC,Espanyol Barcelona,0,0,1,1
19,RCD Mallorca,Real Madrid,1,2,0,3
19,Valencia CF,Real Sociedad,0,1,0,3
19,Atlético Madrid,Villarreal CF,3,0,3,0
19,CA Osasuna,Racing Santander,0,2,0,3
19,Athletic Bilbao,Levante UD,3,0,3,0
19,Sporting Gijón,Málaga CF,2,1,3,0
19,FC Barcelona,Real Betis,4,2,3,0
20,Getafe CF,Racing Santander,1,1,1,1
20,Granada CF,Espanyol Barcelona,2,1,3,0
20,Sporting Gijón,Villarreal CF,2,3,0,3
20,Atlético Madrid,Real Sociedad,1,1,1,1
20,FC Barcelona,Málaga CF,4,1,3,0
20,Sevilla FC,Real Betis,1,2,0,3
20,RCD Mallorca,Rayo Vallecano,1,0,3,0
20,Real Zaragoza,Levante UD,1,0,3,0
20,Valencia CF,CA Osasuna,4,0,3,0
20,Athletic Bilbao,Real Madrid,0,3,0,3
21,Espanyol Barcelona,RCD Mallorca,1,0,3,0
21,Rayo Vallecano,Athletic Bilbao,2,3,0,3
21,Real Madrid,Real Zaragoza,3,1,3,0
21,Villarreal CF,FC Barcelona,0,0,1,1
21,Real Betis,Granada CF,1,2,0,3
21,Real Sociedad,Sporting Gijón,5,1,3,0
21,Levante UD,Getafe CF,1,2,0,3
21,Racing Santander,Valencia CF,2,2,1,1
21,Málaga CF,Sevilla FC,2,1,3,0
21,CA Osasuna,Atlético Madrid,0,1,0,3
22,RCD Mallorca,Real Betis,1,0,3,0
22,Athletic Bilbao,Espanyol Barcelona,3,3,1,1
22,Levante UD,Racing Santander,1,1,1,1
22,Getafe CF,Real Madrid,0,1,0,3
22,FC Barcelona,Real Sociedad,2,1,3,0
22,Sporting Gijón,CA Osasuna,1,1,1,1
22,Sevilla FC,Villarreal CF,1,2,0,3
22,Real Zaragoza,Rayo Vallecano,1,2,0,3
22,Atlético Madrid,Valencia CF,0,0,1,1
22,Granada CF,Málaga CF,2,1,3,0
23,Racing Santander,Atlético Madrid,0,0,1,1
23,CA Osasuna,FC Barcelona,3,2,3,0
23,Real Betis,Athletic Bilbao,2,1,3,0
23,Espanyol Barcelona,Real Zaragoza,0,2,0,3
23,Málaga CF,RCD Mallorca,3,1,3,0
23,Rayo Vallecano,Getafe CF,2,0,3,0
23,Valencia CF,Sporting Gijón,4,0,3,0
23,Villarreal CF,Granada CF,3,1,3,0
23,Real Madrid,Levante UD,4,2,3,0
23,Real Sociedad,Sevilla FC,2,0,3,0
24,Getafe CF,Espanyol Barcelona,1,1,1,1
24,Real Madrid,Racing Santander,4,0,3,0
24,Sevilla FC,CA Osasuna,2,0,3,0
24,Granada CF,Real Sociedad,4,1,3,0
24,Athletic Bilbao,Málaga CF,3,0,3,0
24,Sporting Gijón,Atlético Madrid,1,1,1,1
24,RCD Mallorca,Villarreal CF,4,0,3,0
24,Levante UD,Rayo Vallecano,3,5,0,3
24,FC Barcelona,Valencia CF,5,1,3,0
24,Real Zaragoza,Real Betis,0,2,0,3
25,Racing Santander,Sporting Gijón,1,1,1,1
25,Real Betis,Getafe CF,1,1,1,1
25,Málaga CF,Real Zaragoza,5,1,3,0
25,Espanyol Barcelona,Levante UD,1,2,0,3
25,Villarreal CF,Athletic Bilbao,2,2,1,1
25,Rayo Vallecano,Real Madrid,0,1,0,3
25,Valencia CF,Sevilla FC,1,2,0,3
25,CA Osasuna,Granada CF,2,1,3,0
25,Real Sociedad,RCD Mallorca,1,0,3,0
25,Atlético Madrid,FC Barcelona,1,2,0,3
26,RCD Mallorca,CA Osasuna,1,1,1,1
26,Getafe CF,Málaga CF,1,3,0,3
26,Rayo Vallecano,Racing Santander,4,2,3,0
26,FC Barcelona,Sporting Gijón,3,1,3,0
26,Sevilla FC,Atlético Madrid,1,1,1,1
26,Real Zaragoza,Villarreal CF,2,1,3,0
26,Athletic Bilbao,Real Sociedad,2,0,3,0
26,Granada CF,Valencia CF,0,1,0,3
26,Real Madrid,Espanyol Barcelona,5,0,3,0
26,Levante UD,Real Betis,3,1,3,0
27,Real Sociedad,Real Zaragoza,3,0,3,0
27,Málaga CF,Levante UD,1,0,3,0
27,Sporting Gijón,Sevilla FC,1,0,3,0
27,Real Betis,Real Madrid,2,3,0,3
27,Atlético Madrid,Granada CF,2,0,3,0
27,Espanyol Barcelona,Rayo Vallecano,5,1,3,0
27,Valencia CF,RCD Mallorca,2,2,1,1
27,Racing Santander,FC Barcelona,0,2,0,3
27,CA Osasuna,Athletic Bilbao,2,1,3,0
27,Villarreal CF,Getafe CF,1,2,0,3
28,Granada CF,Sporting Gijón,2,1,3,0
28,Real Zaragoza,CA Osasuna,1,1,1,1
28,Getafe CF,Real Sociedad,1,0,3,0
28,Sevilla FC,FC Barcelona,0,2,0,3
28,Rayo Vallecano,Real Betis,3,0,3,0
28,Levante UD,Villarreal CF,1,0,3,0
28,RCD Mallorca,Atlético Madrid,2,1,3,0
28,Athletic Bilbao,Valencia CF,0,3,0,3
28,Real Madrid,Málaga CF,1,1,1,1
28,Espanyol Barcelona,Racing Santander,3,1,3,0
29,CA Osasuna,Getafe CF,0,0,1,1
29,FC Barcelona,Granada CF,5,3,3,0
29,Sporting Gijón,RCD Mallorca,2,3,0,3
29,Atlético Madrid,Athletic Bilbao,2,1,3,0
29,Valencia CF,Real Zaragoza,1,2,0,3
29,Real Sociedad,Levante UD,1,3,0,3
29,Villarreal CF,Real Madrid,1,1,1,1
29,Racing Santander,Sevilla FC,0,3,0,3
29,Real Betis,Espanyol Barcelona,1,1,1,1
29,Málaga CF,Rayo Vallecano,4,2,3,0
30,RCD Mallorca,FC Barcelona,0,2,0,3
30,Real Madrid,Real Sociedad,5,1,3,0
30,Getafe CF,Valencia CF,3,1,3,0
30,Real Zaragoza,Atlético Madrid,1,0,3,0
30,Levante UD,CA Osasuna,0,2,0,3
30,Espanyol Barcelona,Málaga CF,1,2,0,3
30,Athletic Bilbao,Sporting Gijón,1,1,1,1
30,Rayo Vallecano,Villarreal CF,0,2,0,3
30,Real Betis,Racing Santander,1,1,1,1
30,Granada CF,Sevilla FC,0,3,0,3
31,Racing Santander,Granada CF,0,1,0,3
31,Sporting Gijón,Real Zaragoza,1,2,0,3
31,CA Osasuna,Real Madrid,1,5,0,3
31,FC Barcelona,Athletic Bilbao,2,0,3,0
31,Málaga CF,Real Betis,0,2,0,3
31,Atlético Madrid,Getafe CF,3,0,3,0
31,Valencia CF,Levante UD,1,1,1,1
31,Real Sociedad,Rayo Vallecano,4,0,3,0
31,Villarreal CF,Espanyol Barcelona,0,0,1,1
31,Sevilla FC,RCD Mallorca,3,1,3,0
32,Getafe CF,Sporting Gijón,2,0,3,0
32,Rayo Vallecano,CA Osasuna,6,0,3,0
32,Espanyol Barcelona,Real Sociedad,2,2,1,1
32,Real Zaragoza,FC Barcelona,1,4,0,3
32,Real Betis,Villarreal CF,3,1,3,0
32,Levante UD,Atlético Madrid,2,0,3,0
32,RCD Mallorca,Granada CF,0,0,1,1
32,Athletic Bilbao,Sevilla FC,1,0,3,0
32,Real Madrid,Valencia CF,0,0,1,1
32,Málaga CF,Racing Santander,3,0,3,0
33,CA Osasuna,Espanyol Barcelona,2,0,3,0
33,Real Sociedad,Real Betis,1,1,1,1
33,FC Barcelona,Getafe CF,4,0,3,0
33,Granada CF,Athletic Bilbao,2,2,1,1
33,Sporting Gijón,Levante UD,3,2,3,0
33,Valencia CF,Rayo Vallecano,4,1,3,0
33,Atlético Madrid,Real Madrid,1,4,0,3
33,Villarreal CF,Málaga CF,2,1,3,0
33,Racing Santander,RCD Mallorca,0,3,0,3
33,Sevilla FC,Real Zaragoza,3,0,3,0
34,Real Madrid,Sporting Gijón,3,1,3,0
34,Levante UD,FC Barcelona,1,2,0,3
34,Espanyol Barcelona,Valencia CF,4,0,3,0
34,Real Zaragoza,Granada CF,1,0,3,0
34,Real Betis,CA Osasuna,1,0,3,0
34,Málaga CF,Real Sociedad,1,1,1,1
34,Villarreal CF,Racing Santander,1,1,1,1
34,Athletic Bilbao,RCD Mallorca,1,0,3,0
34,Rayo Vallecano,Atlético Madrid,0,1,0,3
34,Getafe CF,Sevilla FC,5,1,3,0
35,RCD Mallorca,Real Zaragoza,1,0,3,0
35,Sporting Gijón,Rayo Vallecano,2,1,3,0
35,FC Barcelona,Real Madrid,1,2,0,3
35,Sevilla FC,Levante UD,1,1,1,1
35,Granada CF,Getafe CF,1,0,3,0
35,Real Sociedad,Villarreal CF,1,1,1,1
35,Racing Santander,Athletic Bilbao,0,1,0,3
35,Atlético Madrid,Espanyol Barcelona,3,1,3,0
35,Valencia CF,Real Betis,4,0,3,0
35,CA Osasuna,Málaga CF,1,1,1,1
36,Getafe CF,RCD Mallorca,1,3,0,3
36,Levante UD,Granada CF,3,1,3,0
36,Espanyol Barcelona,Sporting Gijón,0,3,0,3
36,Real Sociedad,Racing Santander,3,0,3,0
36,Villarreal CF,CA Osasuna,1,1,1,1
36,Real Madrid,Sevilla FC,3,0,3,0
36,Real Zaragoza,Athletic Bilbao,2,0,3,0
36,Málaga CF,Valencia CF,1,0,3,0
36,Real Betis,Atlético Madrid,2,2,1,1
36,Rayo Vallecano,FC Barcelona,0,7,0,3
37,Real Zaragoza,Racing Santander,2,1,3,0
37,Athletic Bilbao,Getafe CF,0,0,1,1
37,RCD Mallorca,Levante UD,1,0,3,0
37,Granada CF,Real Madrid,1,2,0,3
37,Sevilla FC,Rayo Vallecano,5,2,3,0
