1996/1997,1,,FC St. Pauli,FC Bayern Muenchen,1,2
1996/1997,1,,Borussia Mgladbach,Arminia Bielefeld,0,0
1996/1997,1,,VfL Bochum,MSV Duisburg,1,0
1996/1997,1,,VfB Stuttgart,Schalke 04,4,0
1996/1997,1,,FC Hansa Rostock,Karlsruher SC,2,2
1996/1997,1,,SC Freiburg,SV Werder Bremen,3,2
1996/1997,1,,TSV 1860 Muenchen,Hamburger SV,2,1
1996/1997,1,,Bayer Leverkusen,Borussia Dortmund,4,2
1996/1997,1,,Fortuna Duesseldorf,1.FC Koeln,0,3
1996/1997,2,,Hamburger SV,SC Freiburg,5,1
1996/1997,2,,SV Werder Bremen,FC Hansa Rostock,1,1
1996/1997,2,,Schalke 04,Borussia Mgladbach,0,0
1996/1997,2,,Arminia Bielefeld,FC St. Pauli,1,2
1996/1997,2,,Borussia Dortmund,Fortuna Duesseldorf,4,0
1996/1997,2,,FC Bayern Muenchen,VfL Bochum,1,1
1996/1997,2,,MSV Duisburg,Bayer Leverkusen,1,3
1996/1997,2,,1.FC Koeln,TSV 1860 Muenchen,1,0
1996/1997,2,,Karlsruher SC,VfB Stuttgart,0,2
1996/1997,3,,FC Hansa Rostock,Hamburger SV,0,1
1996/1997,3,,VfL Bochum,Arminia Bielefeld,1,1
1996/1997,3,,Borussia Mgladbach,Karlsruher SC,1,3
1996/1997,3,,VfB Stuttgart,SV Werder Bremen,2,1
1996/1997,3,,SC Freiburg,1.FC Koeln,1,3
1996/1997,3,,TSV 1860 Muenchen,Borussia Dortmund,1,3
1996/1997,3,,Bayer Leverkusen,Fortuna Duesseldorf,0,1
1996/1997,3,,MSV Duisburg,FC Bayern Muenchen,0,4
1996/1997,3,,FC St. Pauli,Schalke 04,4,4
1996/1997,4,,Borussia Dortmund,SC Freiburg,3,1
1996/1997,4,,Hamburger SV,VfB Stuttgart,0,4
1996/1997,4,,SV Werder Bremen,Borussia Mgladbach,1,0
1996/1997,4,,Schalke 04,VfL Bochum,1,1
1996/1997,4,,Karlsruher SC,FC St. Pauli,4,0
1996/1997,4,,Arminia Bielefeld,MSV Duisburg,1,1
1996/1997,4,,FC Bayern Muenchen,Bayer Leverkusen,4,2
1996/1997,4,,Fortuna Duesseldorf,TSV 1860 Muenchen,0,0
1996/1997,4,,1.FC Koeln,FC Hansa Rostock,0,2
1996/1997,5,,Borussia Mgladbach,Hamburger SV,3,0
1996/1997,5,,SC Freiburg,Fortuna Duesseldorf,1,2
1996/1997,5,,VfL Bochum,Karlsruher SC,3,1
1996/1997,5,,FC St. Pauli,SV Werder Bremen,0,3
1996/1997,5,,FC Hansa Rostock,Borussia Dortmund,0,1
1996/1997,5,,FC Bayern Muenchen,Arminia Bielefeld,1,0
1996/1997,5,,MSV Duisburg,Schalke 04,0,1
1996/1997,5,,Bayer Leverkusen,TSV 1860 Muenchen,3,0
1996/1997,5,,VfB Stuttgart,1.FC Koeln,4,0
1996/1997,6,,SV Werder Bremen,VfL Bochum,5,1
1996/1997,6,,Fortuna Duesseldorf,FC Hansa Rostock,0,2
1996/1997,6,,Borussia Dortmund,VfB Stuttgart,1,1
1996/1997,6,,Karlsruher SC,MSV Duisburg,1,0
1996/1997,6,,Schalke 04,FC Bayern Muenchen,1,1
1996/1997,6,,Arminia Bielefeld,Bayer Leverkusen,0,1
1996/1997,6,,TSV 1860 Muenchen,SC Freiburg,4,0
1996/1997,6,,1.FC Koeln,Borussia Mgladbach,4,0
1996/1997,6,,Hamburger SV,FC St. Pauli,3,0
1996/1997,7,,FC Hansa Rostock,TSV 1860 Muenchen,2,4
1996/1997,7,,MSV Duisburg,SV Werder Bremen,3,2
1996/1997,7,,VfL Bochum,Hamburger SV,3,1
1996/1997,7,,FC St. Pauli,1.FC Koeln,0,0
1996/1997,7,,Borussia Mgladbach,Borussia Dortmund,5,1
1996/1997,7,,VfB Stuttgart,Fortuna Duesseldorf,0,2
1996/1997,7,,Arminia Bielefeld,Schalke 04,0,1
1996/1997,7,,FC Bayern Muenchen,Karlsruher SC,1,0
1996/1997,7,,Bayer Leverkusen,SC Freiburg,5,3
1996/1997,8,,Karlsruher SC,Arminia Bielefeld,5,2
1996/1997,8,,1.FC Koeln,VfL Bochum,2,0
